gene.symbol	gene.entrezid
A2ML1	144568
A2M	2
AACSL	729522
AADACL3	126767
AADAC	13
AAGAB	79719
AASS	10157
ABAT	18
ABCA10	10349
ABCA12	26154
ABCA1	19
ABCA3	21
ABCA5	23461
ABCA6	23460
ABCA8	10351
ABCA9	10350
ABCB11	8647
ABCB1	5243
ABCB5	340273
ABCB8	11194
ABCB9	23457
ABCC13	150000
ABCC5	10057
ABCC6	368
ABCC9	10060
ABCD2	225
ABCD3	5825
ABCG1	9619
ABCG2	9429
ABHD11	83451
ABHD12B	145447
ABHD12	26090
ABHD14B	84836
ABHD2	11057
ABHD3	171586
ABHD6	57406
ABI3BP	25890
ABLIM1	3983
ABLIM3	22885
ABTB1	80325
ACAA2	10449
ACACB	32
ACAD11	84129
ACADL	33
ACADM	34
ACADS	35
ACADVL	37
ACAN	176
ACAT1	38
ACAT2	39
ACBD3	64746
ACBD6	84320
ACCS	84680
ACMSD	130013
ACO1	48
ACOT1	641371
ACOT2	10965
ACOT4	122970
ACOT7	11332
ACOX2	8309
ACP1	52
ACP2	53
ACSL1	2180
ACSL4	2182
ACSL5	51703
ACSL6	23305
ACSM2A	123876
ACSM2B	348158
ACSM3	6296
ACSM5	54988
ACSS2	55902
ACSS3	79611
ACTA2	59
ACTG2	72
ACTL6A	86
ACTL8	81569
ACTR2	10097
ACTR3	10096
ACVR1C	130399
ACVR2A	92
ACVRL1	94
ADAM12	8038
ADAM15	8751
ADAM19	8728
ADAM33	80332
ADAM8	101
ADAMDEC1	27299
ADAMTS12	81792
ADAMTS14	140766
ADAMTS18	170692
ADAMTS19	171019
ADAMTS1	9510
ADAMTS20	80070
ADAMTS3	9508
ADAMTS4	9507
ADAMTS5	11096
ADAMTS6	11174
ADAMTS7	11173
ADAMTS8	11095
ADAMTS9	56999
ADAMTSL2	9719
ADAMTSL3	57188
ADAMTSL4	54507
ADAR	103
ADCY4	196883
ADCY5	111
ADCY6	112
ADCYAP1R1	117
ADD3	120
ADH1A	124
ADH1B	125
ADH1C	126
ADH4	127
ADH5	128
ADHFE1	137872
ADIPOQ	9370
ADIPOR1	51094
ADM2	79924
ADM	133
ADORA2A	135
ADPRH	141
ADRA1A	146
ADRA2A	150
ADRB2	154
ADRB3	155
ADRBK2	157
ADRM1	11047
ADSS	159
AEBP1	165
AFAP1L1	134265
AFAP1L2	84632
AFF2	2334
AFF3	3899
AFP	174
AG2	10551
AGAP11	119385
AGPAT2	10555
AGPAT9	84803
AGR2	10551
AGR3	155465
AGTRAP	57085
AGT	183
AGXT2L2	85007
AHCY	191
AHNAK	79026
AHSA2	130872
AIF1L	83543
AIFM1	9131
AIFM2	84883
AIM1L	55057
AIM2	9447
AIMP2	7965
AK3	205
AK5	26289
AKAP12	9590
AKAP14	158798
AKAP2	11217
AKAP5	9495
AKAP7	9465
AKR1C1	1645
AKR1C2	1646
AKR1C3	8644
AKR1C4	1109
AKR7A3	22977
ALAD	210
ALAS2	212
ALCAM	214
ALDH18A1	5832
ALDH1A1	216
ALDH1A2	8854
ALDH1A3	220
ALDH1B1	219
ALDH1L1	10840
ALDH1L2	160428
ALDH2	217
ALDH4A1	8659
ALDH6A1	4329
ALDOA	226
ALDOC	230
ALG1L	200810
ALG1	56052
ALG3	10195
ALG6	29929
ALG8	79053
ALPK3	57538
ALPL	249
ALS2CL	259173
ALS2CR4	65062
ALX4	60529
AMACR	23600
AMH	268
AMMECR1	9949
AMOTL1	154810
AMOTL2	51421
AMT	275
AMY2B	280
AMZ1	155185
AMZ2	51321
ANAPC11	51529
ANGPT1	284
ANGPT4	51378
ANGPTL1	9068
ANGPTL2	23452
ANGPTL3	27329
ANGPTL4	51129
ANGPTL5	253935
ANGPTL7	10218
ANG	283
ANK2	287
ANKDD1A	348094
ANKRD22	118932
ANKRD29	147463
ANKRD30A	91074
ANKRD30B	374860
ANKRD35	148741
ANKRD40	91369
ANKRD43	134548
ANKRD50	57182
ANKRD53	79998
ANKRD5	63926
ANLN	54443
ANO1	55107
ANO3	63982
ANO6	196527
ANP32E	81611
ANPEP	290
ANTXR2	118429
ANXA1	301
ANXA3	306
ANXA9	8416
AOC2	314
AOC3	8639
AOX1	316
AP1AR	55435
AP1G2	8906
AP1M2	10053
AP1S1	1174
AP1S3	130340
AP2S1	1175
APBA1	320
APBB1IP	54518
APBB1	322
APCDD1L	164284
APCDD1	147495
APEH	327
APEX2	27301
APH1A	51107
APLP1	333
APOA1BP	128240
APOB48R	55911
APOBEC3A	200315
APOBEC3B	9582
APOBEC3C	27350
APOBEC4	403314
APOB	338
APOC1	341
APOC2	344
APOL3	23780
APOL6	80830
APOLD1	81575
APOO	79135
AQP1	358
AQP7P1	375719
AQP7P3	441432
AQP7	364
AQPEP	206338
ARAP3	64411
ARC	8996
ARF1	375
ARF3	377
ARF4	378
ARFGAP1	26286
ARFGEF1	10565
ARGLU1	55082
ARHGAP10	57584
ARHGAP11A	9824
ARHGAP11B	89839
ARHGAP19	84986
ARHGAP20	57569
ARHGAP21	57584
ARHGAP23	57636
ARHGAP24	83478
ARHGAP26	23092
ARHGAP31	57514
ARHGAP32	9743
ARHGAP36	158763
ARHGAP39	80728
ARHGAP6	395
ARHGAP8	23779
ARHGDIB	397
ARHGEF10	9639
ARHGEF15	22899
ARHGEF16	27237
ARHGEF37	389337
ARHGEF4	50649
ARHGEF6	9459
ARHGEF7	8874
ARID5A	10865
ARID5B	84159
ARL14	80117
ARL3	403
ARL4A	10124
ARL4C	10123
ARL6IP1	23204
ARMC3	219681
ARMC9	80210
ARNT2	9915
ARPC1B	10095
ARPC3	10094
ARPC5L	81873
ARPC5	10092
ARRB1	408
ARRDC1	92714
ARRDC2	27106
ARRDC3	57561
ARRDC4	91947
ARSB	411
ARSG	22901
ARSI	340075
ART4	420
ARTN	9048
ARV1	64801
AR	231
ASAM	79827
ASB13	79754
ASB1	51665
ASCL1	429
ASCL2	430
ASF1B	55723
ASNA1	439
ASNS	440
ASPA	443
ASPH	444
ASPM	259266
ASPN	54829
ASPSCR1	79058
ASS1	445
ASTN1	460
ATAD2	29028
ATAD3A	55210
ATAD5	79915
ATF3	467
ATF5	22809
ATG4D	84971
ATIC	471
ATOH8	84913
ATOX1	475
ATP13A1	57130
ATP13A2	23400
ATP13A4	84239
ATP13A5	344905
ATP1A2	477
ATP1A3	478
ATP1B2	482
ATP2A3	489
ATP2B4	493
ATP2C2	9914
ATP5G1	516
ATP5J2	9551
ATP6AP1	537
ATP6V0B	533
ATP6V0C	527
ATP6V0E2	155066
ATP6V1A	523
ATP6V1F	9296
ATP6V1G1	9550
ATP7B	540
ATP8A1	10396
ATP8A2	51761
ATP8B1	5205
ATP8B4	79895
ATPIF1	93974
ATRNL1	26033
ATXN1L	342371
AURKA	6790
AURKB	9212
AVL9	23080
AVPI1	60370
AVPR1A	552
AVPR2	554
AXIN1	8312
AXIN2	8313
AZIN1	51582
B3GALNT1	8706
B3GALNT2	148789
B3GALT1	8708
B4GALNT1	2583
B4GALNT2	124872
B4GALNT3	283358
B4GALNT4	338707
B4GALT1	2683
B4GALT3	8703
B4GALT4	8702
B4GALT6	9331
BACE2	25825
BACH2	60468
BAI2	576
BAI3	577
BAIAP2L1	55971
BAIAP2	10458
BAK1	578
BAMBI	25805
BANF1	8815
BANK1	55024
BARD1	580
BARX2	8538
BASE	317716
BASP1	10409
BAT5	7920
BAX	581
BAZ1A	11177
BBOX1	8424
BBS2	583
BCAS1	8537
BCCIP	56647
BCL2L12	83596
BCL2L2	599
BCL3	602
BCL6B	255877
BCL6	604
BCL9	607
BDH2	56898
BEND2	139105
BEND5	79656
BEND7	222389
BEX1	55859
BGN	633
BHLHE41	79365
BHMT2	23743
BIK	638
BIN1	274
BIRC5	332
BLCAP	10904
BLMH	642
BLM	641
BLNK	29760
BLOC1S3	388552
BLVRA	644
BMF	90427
BMI1	648
BMP2	650
BMP3	651
BMP5	653
BMP6	654
BMP8A	353500
BMP8B	656
BMPER	168667
BMPR1B	658
BMX	660
BNIP2	663
BNIP3L	665
BNIPL	149428
BOC	91653
BOK	666
BOLA2	552900
BOP1	23246
BPIL3	128859
BPNT1	10380
BRCA1	672
BRCA2	675
BRCC3	55789
BRF2	678
BRI3BP	140707
BRIP1	64979
BRMS1	25855
BRP44	25874
BRSK2	9024
BSCL2	26580
BSPRY	54836
BST1	683
BST2	684
BTAF1	9044
BTBD11	121551
BTN1A1	696
BTNL9	153579
BUB1B	701
BUB1	699
BUB3	9184
BYSL	705
BZRAP1	9256
BZW1	9689
BZW2	28969
C10ORF10	NA
C10ORF116	NA
C10ORF128	NA
C10ORF18	NA
C10ORF54	NA
C10ORF57	NA
C10ORF58	NA
C10ORF72	NA
C10ORF81	NA
C10ORF82	NA
C10ORF90	NA
C10ORF91	NA
C11ORF24	NA
C11ORF2	NA
C11ORF31	NA
C11ORF41	NA
C11ORF48	NA
C11ORF80	NA
C11ORF82	NA
C11ORF83	NA
C11ORF84	NA
C11ORF86	NA
C11ORF87	NA
C11ORF92	NA
C12ORF11	NA
C12ORF23	NA
C12ORF32	NA
